"Gate実行ID","候補ID","正規エクスポージャーID","エクスポージャー群ID","取引手段ID","シンボル","取引所またはVenue","Broker","資産クラス","リスク群","代替グループID","最終Gate分類","HardGate状態","G1日本Broker利用可否","G2_API注文口座","G3_LongShort","G4契約仕様","G5_50万円資金適合","G5_75万円資金適合","G5_100万円資金適合","G6流動性スプレッド","G7データ可否費用","G8運用リスク","G9規制税務","G10_Biasデータ完全性","最小数量1N円リスク","二Nストップ損失円","ギャップストレス損失円","四Unit理論ストップ損失円","不足している重要情報","必要証拠ID一覧","Gate理由","計算版","基準日","確認日時","確認者ロール","レビューメモ"
"GTE-P06-20260802-0001","CAN-EXP-EQ-JP-NIKKEI225-NK225MC-IBSJ","EXP-EQ-JP-NIKKEI225","CLU-EXP-EQ-JP-NIKKEI225","VEH-NK225MC","NK225MC","OSE","Interactive Brokers Securities Japan Inc.","株価指数","再構成リスク群","PG-株価指数","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-EQ-JP-TOPIX-TOPIX-IBSJ","EXP-EQ-JP-TOPIX","CLU-EXP-EQ-JP-TOPIX","VEH-TOPIX","TOPIX","OSE","Interactive Brokers Securities Japan Inc.","株価指数","再構成リスク群","PG-株価指数","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-EQ-JP-TOPIX-MTOPIX-IBSJ","EXP-EQ-JP-TOPIX","CLU-EXP-EQ-JP-TOPIX","VEH-MTOPIX","MTOPIX","OSE","Interactive Brokers Securities Japan Inc.","株価指数","再構成リスク群","PG-株価指数","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-FX-G10-EURUSD-6E-IBSJ","EXP-FX-G10-EURUSD","CLU-EXP-FX-G10-EURUSD","VEH-6E","6E","CME","Interactive Brokers Securities Japan Inc.","為替","再構成リスク群","PG-為替","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-FX-G10-EURUSD-M6E-IBSJ","EXP-FX-G10-EURUSD","CLU-EXP-FX-G10-EURUSD","VEH-M6E","M6E","CME","Interactive Brokers Securities Japan Inc.","為替","再構成リスク群","PG-為替","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-FX-G10-USDJPY-6J-IBSJ","EXP-FX-G10-USDJPY","CLU-EXP-FX-G10-USDJPY","VEH-6J","6J","CME","Interactive Brokers Securities Japan Inc.","為替","再構成リスク群","PG-為替","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-FX-G10-USDJPY-MJY-IBSJ","EXP-FX-G10-USDJPY","CLU-EXP-FX-G10-USDJPY","VEH-MJY","MJY","CME","Interactive Brokers Securities Japan Inc.","為替","再構成リスク群","PG-為替","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-FX-G10-GBPUSD-6B-IBSJ","EXP-FX-G10-GBPUSD","CLU-EXP-FX-G10-GBPUSD","VEH-6B","6B","CME","Interactive Brokers Securities Japan Inc.","為替","再構成リスク群","PG-為替","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-FX-G10-GBPUSD-M6B-IBSJ","EXP-FX-G10-GBPUSD","CLU-EXP-FX-G10-GBPUSD","VEH-M6B","M6B","CME","Interactive Brokers Securities Japan Inc.","為替","再構成リスク群","PG-為替","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-FX-G10-AUDUSD-6A-IBSJ","EXP-FX-G10-AUDUSD","CLU-EXP-FX-G10-AUDUSD","VEH-6A","6A","CME","Interactive Brokers Securities Japan Inc.","為替","再構成リスク群","PG-為替","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-FX-G10-AUDUSD-M6A-IBSJ","EXP-FX-G10-AUDUSD","CLU-EXP-FX-G10-AUDUSD","VEH-M6A","M6A","CME","Interactive Brokers Securities Japan Inc.","為替","再構成リスク群","PG-為替","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-METAL-GLOBAL-GOLD-GC-IBSJ","EXP-METAL-GLOBAL-GOLD","CLU-EXP-METAL-GLOBAL-GOLD","VEH-GC","GC","COMEX","Interactive Brokers Securities Japan Inc.","金属","再構成リスク群","PG-金属","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-METAL-GLOBAL-GOLD-MGC-IBSJ","EXP-METAL-GLOBAL-GOLD","CLU-EXP-METAL-GLOBAL-GOLD","VEH-MGC","MGC","COMEX","Interactive Brokers Securities Japan Inc.","金属","再構成リスク群","PG-金属","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-METAL-GLOBAL-SILVER-SI-IBSJ","EXP-METAL-GLOBAL-SILVER","CLU-EXP-METAL-GLOBAL-SILVER","VEH-SI","SI","COMEX","Interactive Brokers Securities Japan Inc.","金属","再構成リスク群","PG-金属","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-METAL-GLOBAL-SILVER-SIL-IBSJ","EXP-METAL-GLOBAL-SILVER","CLU-EXP-METAL-GLOBAL-SILVER","VEH-SIL","SIL","COMEX","Interactive Brokers Securities Japan Inc.","金属","再構成リスク群","PG-金属","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-METAL-GLOBAL-COPPER-HG-IBSJ","EXP-METAL-GLOBAL-COPPER","CLU-EXP-METAL-GLOBAL-COPPER","VEH-HG","HG","COMEX","Interactive Brokers Securities Japan Inc.","金属","再構成リスク群","PG-金属","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-METAL-GLOBAL-COPPER-MHG-IBSJ","EXP-METAL-GLOBAL-COPPER","CLU-EXP-METAL-GLOBAL-COPPER","VEH-MHG","MHG","COMEX","Interactive Brokers Securities Japan Inc.","金属","再構成リスク群","PG-金属","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-METAL-JP-GOLD-GOLDSTD-IBSJ","EXP-METAL-JP-GOLD","CLU-EXP-METAL-JP-GOLD","VEH-GOLDSTD","GOLDSTD","OSE","Interactive Brokers Securities Japan Inc.","金属","再構成リスク群","PG-金属","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-METAL-JP-GOLD-GOLDMINI-IBSJ","EXP-METAL-JP-GOLD","CLU-EXP-METAL-JP-GOLD","VEH-GOLDMINI","GOLDMINI","OSE","Interactive Brokers Securities Japan Inc.","金属","再構成リスク群","PG-金属","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
